Dinheiro Suspeito,2026,6.9/10,"A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on."
Marty Supreme,2025,8.2/10,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness."
A Empregada,2025,7.0/10,"A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own."
De Férias com Você,2026,6.7/10,"Poppy wants to explore the world and Alex prefers to stay home with a good book, but somehow they are the very best of friends. They live far apart, but for a decade they have spent one week... Read all"
Extermínio: A Evolução,2025,6.6/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Extermínio: O Templo dos Ossos,2026,7.8/10,"As Spike is inducted into Jimmy Crystal's gang on the mainland, Dr. Kelson makes a discovery that could alter the world."
Avatar: Fogo e Cinzas,2025,7.4/10,"Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new mor... Read all"
Hamnet: A Vida Antes de Hamlet,2025,8.1/10,"After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while... Read all"
Uma Batalha Após a Outra,2025,7.8/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
Pecadores,2025,7.5/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Vivo ou Morto: Um Mistério Knives Out,2025,7.4/10,Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.
Família de Aluguel,2025,7.7/10,"An American actor in Tokyo struggling to find purpose lands an unusual gig: working for a Japanese ""rental family"" agency, playing stand-in roles for strangers. He rediscovers purpose, belon... Read all"
O Sobrevivente,2025,6.4/10,"A man joins a game show in which contestants, allowed to flee anywhere in the world, are pursued by ""hunters"" hired to kill them."
Bugonia,2025,7.4/10,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth."
A Única Saída,2025,7.6/10,"After being unemployed for several years, a man devises a unique plan to secure a new job: eliminate his competition."
Destruição Final 2,2026,5.8/10,The surviving Garrity family must leave the safety of the Greenland bunker and embark on a perilous journey across the decimated frozen wasteland of Europe to find a new home.
O Monstro do Meu Quarto,2025,6.6/10,An eight-year-old girl asks her scheming neighbor for help in killing the monster under her bed that she thinks ate her family.
Nuremberg,2025,7.4/10,"A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring."
Frankenstein,2025,7.5/10,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all"
Valor Sentimental,2025,7.9/10,"An intimate exploration of family, memories, and the reconciliatory power of art."
O Primata,2025,6.2/10,"A group of friends' tropical vacation turns into a terrifying, primal tale of horror and survival."
Song Sung Blue - Um Sonho a Dois,2025,7.5/10,"Lightning and Thunder, a Milwaukee husband and wife Neil Diamond tribute act, experience soaring success and devastating heartbreak in their musical journey together."
Zootopia 2,2025,7.5/10,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers."
